trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,-67,-403.3321521867757,"{0: 51, 1: 12, 2: 14, 3: 6, 4: 4}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,-8,-159.84368279261025,"{0: 19, 1: 6, 2: 4, 3: 2, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,-17,-15.530180058596471,"{0: 36, 1: 4, 2: 1, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",35,-42,-297.7397374148146,"{0: 46, 1: 8, 2: 19, 3: 1, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,-19,-121.42321759404638,"{0: 27, 1: 2, 2: 7, 3: 2, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,9,-15.242106319906794,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,12,-35.15910409932892,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 1}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,-59,-153.92060235803302,"{0: 67, 1: 3, 2: 8, 3: 4, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,2,-128.83950672725615,"{0: 14, 1: 1, 2: 4, 3: 3, 4: 1}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,-3,8.314128361891804,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,11,-8.017819749761331,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,-27,-137.29737769716257,"{0: 38, 1: 3, 2: 7, 3: 2, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,-23,-38.52983630640404,"{0: 36, 1: 3, 2: 2, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,-9,-30.665013271039594,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,-48,-214.84413376302527,"{0: 55, 1: 4, 2: 2, 3: 1, 4: 6}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,2,-2.6744798535375116,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,-2,-32.94348637275289,"{0: 23, 1: 2, 2: 0, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,-34,-160.18764750528646,"{0: 53, 1: 0, 2: 5, 3: 2, 4: 4}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,6,23.235743820037403,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,6,-18.130660844990125,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
1,True,"{'a': 0, 'e': 0}",30,4,-6.870312259673918,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 1}",1
2,True,"{'a': 0, 'e': 0}",25,3,-17.467737925084506,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 1}",1
3,True,"{'a': 0, 'e': 0}",20,-4,33.87422156969213,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",30,24,10.47884396525687,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,5,-27.967002850367994,"{0: 16, 1: 3, 2: 0, 3: 0, 4: 1}",1
6,True,"{'a': 0, 'e': 0}",30,13,22.900343902147963,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,18,15.388301036769914,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,5,-15.643231074680674,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
9,True,"{'a': 0, 'e': 0}",25,11,-11.110051069068758,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,7,-64.95014483368386,"{0: 14, 1: 0, 2: 1, 3: 2, 4: 1}",1
