trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9900498337491681}",20,-100,-704.3439896541886,"{0: 65, 1: 17, 2: 22, 3: 7, 4: 9}",0
2,False,"{'a': 0.01, 'e': 0.9801986733067553}",20,4,-90.37840699592563,"{0: 9, 1: 2, 2: 2, 3: 2, 4: 1}",1
3,False,"{'a': 0.01, 'e': 0.9704455335485082}",25,-100,-666.6194933448979,"{0: 72, 1: 15, 2: 24, 3: 5, 4: 9}",0
4,False,"{'a': 0.01, 'e': 0.9607894391523232}",25,-45,-354.30857147220473,"{0: 39, 1: 6, 2: 19, 3: 2, 4: 4}",0
5,False,"{'a': 0.01, 'e': 0.951229424500714}",20,-91,-430.29526194240646,"{0: 72, 1: 7, 2: 24, 3: 3, 4: 5}",0
6,False,"{'a': 0.01, 'e': 0.9417645335842487}",25,-32,-305.57640077064553,"{0: 31, 1: 10, 2: 9, 3: 3, 4: 4}",0
7,False,"{'a': 0.01, 'e': 0.9323938199059483}",25,-100,-674.3269781005539,"{0: 77, 1: 13, 2: 19, 3: 5, 4: 11}",0
8,False,"{'a': 0.01, 'e': 0.9231163463866358}",20,-9,-186.46941903858047,"{0: 16, 1: 4, 2: 5, 3: 1, 4: 3}",0
9,False,"{'a': 0.01, 'e': 0.9139311852712282}",20,13,-16.532214451231024,"{0: 4, 1: 1, 2: 2, 3: 0, 4: 0}",1
10,False,"{'a': 0.01, 'e': 0.9048374180359595}",20,-100,-687.7311460774363,"{0: 73, 1: 8, 2: 25, 3: 3, 4: 11}",0
11,False,"{'a': 0.01, 'e': 0.8958341352965282}",20,-46,-179.13594672881655,"{0: 45, 1: 5, 2: 13, 3: 1, 4: 2}",0
12,False,"{'a': 0.01, 'e': 0.8869204367171575}",25,-56,-512.144385488557,"{0: 47, 1: 10, 2: 9, 3: 8, 4: 7}",0
13,False,"{'a': 0.01, 'e': 0.8780954309205613}",20,15,-11.34676599193264,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
14,False,"{'a': 0.01, 'e': 0.8693582353988059}",20,-87,-423.5613219201605,"{0: 68, 1: 12, 2: 18, 3: 4, 4: 5}",0
15,False,"{'a': 0.01, 'e': 0.8607079764250578}",30,7,-51.07323122051406,"{0: 17, 1: 3, 2: 2, 3: 0, 4: 1}",1
16,False,"{'a': 0.01, 'e': 0.8521437889662113}",30,-24,-233.34071353015685,"{0: 33, 1: 8, 2: 7, 3: 3, 4: 3}",0
17,False,"{'a': 0.01, 'e': 0.8436648165963837}",20,-27,-148.50227815365565,"{0: 32, 1: 5, 2: 7, 3: 1, 4: 2}",0
18,False,"{'a': 0.01, 'e': 0.835270211411272}",25,-21,-158.96418594729317,"{0: 29, 1: 7, 2: 8, 3: 0, 4: 2}",0
19,False,"{'a': 0.01, 'e': 0.8269591339433623}",25,-100,-761.5778883474657,"{0: 78, 1: 14, 2: 16, 3: 2, 4: 15}",0
20,False,"{'a': 0.01, 'e': 0.8187307530779818}",20,-45,-205.90125855480613,"{0: 41, 1: 9, 2: 10, 3: 4, 4: 1}",0
21,False,"{'a': 0.01, 'e': 0.8105842459701871}",20,-94,-524.888926634697,"{0: 75, 1: 12, 2: 16, 3: 1, 4: 10}",0
22,False,"{'a': 0.01, 'e': 0.8025187979624785}",20,-31,-244.55028808712274,"{0: 36, 1: 2, 2: 7, 3: 1, 4: 5}",0
23,False,"{'a': 0.01, 'e': 0.794533602503334}",25,-25,-133.32185086714253,"{0: 34, 1: 4, 2: 9, 3: 2, 4: 1}",0
24,False,"{'a': 0.01, 'e': 0.7866278610665535}",30,19,-37.462354409831725,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
25,False,"{'a': 0.01, 'e': 0.7788007830714049}",25,-53,-209.04902152773707,"{0: 57, 1: 3, 2: 14, 3: 1, 4: 3}",0
26,False,"{'a': 0.01, 'e': 0.7710515858035663}",20,-31,-111.94000797510677,"{0: 37, 1: 5, 2: 6, 3: 2, 4: 1}",0
27,False,"{'a': 0.01, 'e': 0.7633794943368531}",20,-28,-236.07253357627263,"{0: 31, 1: 5, 2: 6, 3: 2, 4: 4}",0
28,False,"{'a': 0.01, 'e': 0.7557837414557255}",30,9,-55.081211305779256,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 1}",1
29,False,"{'a': 0.01, 'e': 0.7482635675785653}",25,-100,-352.6515241162184,"{0: 89, 1: 9, 2: 16, 3: 8, 4: 3}",0
30,False,"{'a': 0.01, 'e': 0.7408182206817179}",30,-41,-265.47429246571926,"{0: 51, 1: 6, 2: 7, 3: 2, 4: 5}",0
