trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9900498337491681}",25,-100,-686.7978698105643,"{0: 72, 1: 17, 2: 22, 3: 4, 4: 10}",0
2,False,"{'a': 0.01, 'e': 0.9801986733067553}",20,15,0.8235872919086686,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
3,False,"{'a': 0.01, 'e': 0.9704455335485082}",20,-100,-498.2505046818231,"{0: 78, 1: 15, 2: 16, 3: 4, 4: 7}",0
4,False,"{'a': 0.01, 'e': 0.9607894391523232}",30,-44,-377.78458125501896,"{0: 44, 1: 7, 2: 15, 3: 3, 4: 5}",0
5,False,"{'a': 0.01, 'e': 0.951229424500714}",20,-100,-715.4590870069035,"{0: 69, 1: 12, 2: 23, 3: 6, 4: 10}",0
6,False,"{'a': 0.01, 'e': 0.9417645335842487}",25,-98,-517.0269443274485,"{0: 78, 1: 9, 2: 25, 3: 5, 4: 6}",0
7,False,"{'a': 0.01, 'e': 0.9323938199059483}",25,-100,-770.9024417539124,"{0: 75, 1: 9, 2: 23, 3: 6, 4: 12}",0
8,False,"{'a': 0.01, 'e': 0.9231163463866358}",20,-16,-250.868376114627,"{0: 21, 1: 0, 2: 10, 3: 1, 4: 4}",0
9,False,"{'a': 0.01, 'e': 0.9139311852712282}",25,-36,-429.77092747435194,"{0: 32, 1: 4, 2: 17, 3: 2, 4: 6}",0
10,False,"{'a': 0.01, 'e': 0.9048374180359595}",25,-100,-408.258405210348,"{0: 79, 1: 17, 2: 22, 3: 3, 4: 4}",0
11,False,"{'a': 0.01, 'e': 0.8958341352965282}",20,-16,-275.51735568475436,"{0: 21, 1: 4, 2: 4, 3: 2, 4: 5}",0
12,False,"{'a': 0.01, 'e': 0.8869204367171575}",20,-75,-653.5584714357533,"{0: 47, 1: 12, 2: 24, 3: 3, 4: 9}",0
13,False,"{'a': 0.01, 'e': 0.8780954309205613}",20,-100,-570.0787116381929,"{0: 77, 1: 9, 2: 23, 3: 2, 4: 9}",0
14,False,"{'a': 0.01, 'e': 0.8693582353988059}",25,-5,-142.13449034418298,"{0: 19, 1: 5, 2: 2, 3: 2, 4: 2}",0
15,False,"{'a': 0.01, 'e': 0.8607079764250578}",20,-100,-793.8957411677802,"{0: 66, 1: 15, 2: 23, 3: 3, 4: 13}",0
16,False,"{'a': 0.01, 'e': 0.8521437889662113}",20,-100,-833.0070512245037,"{0: 62, 1: 16, 2: 25, 3: 5, 4: 12}",0
17,False,"{'a': 0.01, 'e': 0.8436648165963837}",25,-8,-113.88195484402588,"{0: 22, 1: 4, 2: 4, 3: 2, 4: 1}",0
18,False,"{'a': 0.01, 'e': 0.835270211411272}",25,-43,-336.73328761586635,"{0: 37, 1: 10, 2: 15, 3: 3, 4: 3}",0
19,False,"{'a': 0.01, 'e': 0.8269591339433623}",25,-15,-282.99426915670966,"{0: 20, 1: 4, 2: 11, 3: 1, 4: 4}",0
20,False,"{'a': 0.01, 'e': 0.8187307530779818}",20,-52,-400.00610818891664,"{0: 39, 1: 12, 2: 13, 3: 3, 4: 5}",0
1,True,"{'a': 0, 'e': 0}",20,-100,-682.5784553361358,"{0: 64, 1: 23, 2: 20, 3: 3, 4: 10}",0
2,True,"{'a': 0, 'e': 0}",20,-3,-128.70619828377082,"{0: 11, 1: 6, 2: 3, 3: 2, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",20,-100,-614.1563796496974,"{0: 67, 1: 16, 2: 25, 3: 6, 4: 6}",0
4,True,"{'a': 0, 'e': 0}",20,-84,-523.438435617515,"{0: 60, 1: 8, 2: 26, 3: 5, 4: 5}",0
5,True,"{'a': 0, 'e': 0}",25,-100,-750.7301881108093,"{0: 62, 1: 22, 2: 26, 3: 6, 4: 9}",0
6,True,"{'a': 0, 'e': 0}",20,-14,-149.61660371302486,"{0: 20, 1: 4, 2: 6, 3: 3, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",20,-100,-653.8210336327944,"{0: 63, 1: 22, 2: 24, 3: 3, 4: 8}",0
8,True,"{'a': 0, 'e': 0}",25,15,-30.85846992133423,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 1}",1
9,True,"{'a': 0, 'e': 0}",25,-100,-632.7683476562714,"{0: 73, 1: 14, 2: 22, 3: 10, 4: 6}",0
10,True,"{'a': 0, 'e': 0}",20,2,-95.38864394615236,"{0: 10, 1: 0, 2: 7, 3: 0, 4: 1}",1
